State,Estimated Population 2020(as per UIDAI)
India,"137,05,08,600"
Andaman and Nicobar Islands,"4,17,036"
Andhra Pradesh,"5,39,03,502"
Arunachal Pradesh," 15,70,458"
Assam,"3,56,07,039"
Bihar,"12,47,99,926"
Chandigarh,"11,58,473"
Chhattisgarh,"2,94,36,231"
Dadra&Nagar Haveli and Daman &Diu," 6,15,724"
Delhi,"1,87,10,922"
Goa," 15,86,250"
Gujarat,"6,38,72,399"
Haryana,"2,82,04,692"
Himachal Pradesh," 74,51,955"
Jammu and Kashmir,"1,36,06,320"
Jharkhand,"3,85,93,948"
Karnataka,"6,75,62,686"
Kerala,"3,56,99,443"
Ladakh," 2,89,023"
Lakshadweep,"73,183"
Madhya Pradesh,"8,53,58,965"
Maharashtra,"12,31,44,223"
Manipur," 30,91,545"
Meghalaya," 33,66,710"
Mizoram," 12,39,244"
Nagaland," 22,49,695"
Odisha,"4,63,56,334"
Puducherry," 14,13,542"
Punjab,"3,01,41,373"
Rajasthan,"8,10,32,689"
Sikkim," 6,90,251"
Tamil Nadu,"7,78,41,267"
Telangana,"3,85,10,982"
Tripura,"41,69,794"
Uttar Pradesh,"23,78,82,725"
Uttarakhand,"1,12,50,858"
West Bengal,"9,96,09,303"
